位置,编号,姓名,身高,身高米,体重磅,体重kg,出生日期 (年–月–日),来自
后卫,24,帕特·康诺顿,6英尺4英寸,1.93,209磅,95,1993–01–06,圣母大学
摇摆人,26,凯尔·科沃尔,6英尺7英寸,2.01,212磅,96,1981–03–17,克莱顿大学
后卫,0,但丁·迪文森佐,6英尺5英寸,1.96,200磅,91,1997–01–31,维拉诺瓦大学
前锋,7,艾森·伊利亚索瓦,6英尺10英寸,2.08,235磅,107,1987–05–15,[[于尔凯尔]]
中锋,11,布鲁克·洛佩兹,7英尺0英寸,2.13,268磅,122,1988–04–01,斯坦佛大学
摇摆人,13,卡麦隆·雷诺兹 (TW),6英尺7英寸,2.01,225磅,102,1995–02–07,杜兰大学
后卫,9,韦斯理·马修斯,6英尺4英寸,1.93,220磅,100,1986–10–14,马凯特
前锋,22,克里斯·米德尔顿,6英尺8英寸,2.03,234磅,106,1991–08–12,德州农工大学
后卫,15,弗兰克·梅森三世 (TW),5英尺11英寸,1.8,190磅,86,1994–04–03,堪萨斯城大学
前锋,17,德拉甘·本德尔,7英尺0英寸,2.13,249磅,113,1997–11–17,[[特拉维夫马卡比]]
后卫,3,乔治·希尔,6英尺3英寸,1.91,188磅,85,1986–05–04,印城印大普渡
前锋,5,D·J·威尔逊,6英尺10英寸,2.08,236磅,107,1996–02–19,密歇根大学
中锋,42,罗宾·洛佩兹,7英尺0英寸,2.13,281磅,127,1988–04–01,斯坦佛大学
摇摆人,95,德安德鲁·班布里,6英尺6英寸,1.98,210磅,95,1994–07–04,圣约瑟夫大学
摇摆人,15,文斯·卡特,6英尺6英寸,1.98,220磅,100,1977–01–26,北卡罗来纳大学教堂山分校
中/前锋,20,约翰·柯林斯 Injured,6英尺10英寸,2.08,235磅,107,1997–09–23,维克森林大学
后卫,11,特雷·杨 (C),6英尺2英寸,1.88,180磅,82,1998–09–19,奥克拉荷马大学
摇摆人,12,德安德鲁·杭特,6英尺7英寸,2.01,225磅,102,1997–12–02,弗吉尼亚大学*
摇摆人,22,卡麦隆·瑞迪许,6英尺8英寸,2.03,218磅,99,1999–09–01,杜克大学*
中/前锋,30,达米恩·琼斯,7英尺0英寸,2.13,245磅,111,1995–06–30,范德比大学*
摇摆人,3,凯文·赫尔特,6英尺7英寸,2.01,190磅,86,1998–08–27,马里兰大学*
后卫,4,查尔斯·布朗二世 (TW),6英尺6英寸,1.98,199磅,90,1997–02–02,圣约瑟夫大学*
摇摆人,4,特雷维恩·葛拉汉,6英尺5英寸,1.96,219磅,99,1993–10–28,弗吉尼亚联邦大学*
